Unique Sample Identifier (YYMMDD-XXXXX),Site Code,Day,Sample Site,Trip (YYYY-WW) - WW= Week #,Year/ Month,Month/Day,Sample Date,Season,Sample Date,Sample Time,Weather (1=sunny 2-cloudy 3=raining),Tidal Conditions 1=high 2=medium (ebb) 3=medium (flood) 4=low,"Current Direction (1=still, 2=L to R, 3=R to L, 4=towards, 5=Away)",Wind Speed,Rainfall 24 hrs (inches),Rainfall 3 days (inches),Rainfall Past Week (inches),Water Temp C,DO%,DO mg/L,Salinity ppt,Turb NTU,Chl RFU,Chl ug/L,MPN,Exceedance,
230613-MRGE,MRGE,Tuesday,Middle River George English,2023,23-06,,23-06-13,Wet,6/13/2023,9:33 AM,1,2,4,SW 5,,,,29.25,68,4.9,11,0.36,1.33,5.73,74,Fail,"low tide, clear, little clouds"
230613-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2023,23-06,,23-06-13,Wet,6/13/2023,11:00 AM,2,,3,SSW 6,,,,29.8,74.3,5.06,19.65,1.24,0.64,2.8,30,,"low tide, fishes, murky water"
230613-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch,2023,23-06,,23-06-13,Wet,6/13/2023,9:59 AM,1,2,3,SW 5,,,,29.55,73.3,4.94,22.32,1.67,1.4,6.05,52,,"low tide, clear skies, oil sheen, leaves, murky water"
230613-SBR,SBR,Tuesday,Sandbar,2023,23-06,,23-06-13,Wet,6/13/2023,11:06 AM,1,2,4,WNW 6,,,,30.41,90.7,6,23.02,4.89,1.32,5.09,10,,"low tide, litter"
230613-SWP,SWP,Tuesday,Sweeting Park,2023,23-06,,23-06-13,Wet,6/13/2023,11:59 AM,1,1,3,S 9,,,,29.32,48.6,3.71,0.22,1.76,7.99,31.95,243,Fail,"litter, leaves, low tide, murky"
230613-TR,TR,Tuesday,Tarpon River,2023,23-06,,23-06-13,Wet,6/13/2023,11:16 AM,2,2,1,SW 9,,,,28.84,36.6,2.79,2.39,4.39,2.97,11.76,538,Fail,"litter, very low tide, murky"
230620-ABP,ABP,Tuesday,Annie Beck Park,2023,23-06,,23-06-20,Wet,6/20/2023,10:22 AM,1,3,3,SSE 8,,,,30.134,66.9,4.77,10.34,0.96,0.93,4.05,63,,"leaves, stick, high tide, dark"
230620-CH,CH,Tuesday,Coontie Hatchee Park,2023,23-06,,23-06-20,Wet,6/20/2023,12:40 PM,1,2,4,SSE 7,,,,30.2,70.8,5.31,0.7,7.97,1.36,5.46,86,Fail,"Trash, fish present"
230620-HC,HC,Tuesday,Himmarshee Canal,2023,23-06,,23-06-20,Wet,6/20/2023,10:35 AM,1,,2,SSE 8,,,,29.715,46.8,3.53,1.29,0.48,2.27,9.69,110,Fail,"leaves, high tide, cloudy"
230620-LS,LS,Tuesday,Lake Sylvia,2023,23-06,,23-06-20,Wet,6/20/2023,12:05 PM,1,,1,SE 5,,,,29.3,76.3,5.71,0.8,7.12,1.02,4.02,109,Fail,"Plant debris, murky, trash"
230620-MRGE,MRGE,Tuesday,Middle River George English,2023,23-06,,23-06-20,Wet,6/20/2023,9:48 AM,1,3,2,S 6,,,,29.646,67.2,4.78,12.17,0.68,0.83,3.62,85,Fail,"needlefish, brown heron, high tide, clear"
230620-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2023,23-06,,23-06-20,Wet,6/20/2023,10:50 AM,1,,3,SSE 8,,,,29.98,63.1,4.48,11.71,0.56,0.95,4.14,52,,"leaves, high tide, dark"
230620-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch,2023,23-06,,23-06-20,Wet,6/20/2023,10:07 AM,1,3,2,SSE 8,,,,29.484,68.5,4.75,17.18,1.11,0.82,3.56,51,,"litter, leaves, high tide"
230620-SBR,SBR,Tuesday,Sandbar,2023,23-06,,23-06-20,Wet,6/20/2023,12:20 PM,1,2,4,SSE 6,,,,30.5,96.1,6.69,13.03,7.26,1.01,4.04,135,Fail,"Waves, boat activity"
230620-SWP,SWP,Tuesday,Sweeting Park,2023,23-06,,23-06-20,Wet,6/20/2023,12:55 PM,2,,2,SSE 7,,,,28.9,58.4,4.49,0.18,7.98,2.37,9.48,122,Fail,"Iguanas, trash, plant debris"
230620-TR,TR,Tuesday,Tarpon River,2023,23-06,,23-06-20,Wet,6/20/2023,12:30 PM,1,2,4,SSE 7,,,,29.4,29.7,2.2,5.38,7.38,1.94,7.75,377,Fail,"oily film, trash, plant debris"
230627-ABP,ABP,Tuesday,Annie Beck Park,2023,23-06,,23-06-27,Wet,6/27/2023,12:39 PM,1,3,2,WNW 4,,,,31.52,77.9,5.53,6.93,0.62,0.99,3.95,30,,"benthic material, leaves, fish, low tide, clear"
230627-CH,CH,Tuesday,Coontie Hatchee Park,2023,23-06,,23-06-27,Wet,6/27/2023,11:07 AM,1,3,2,calm,,,,31.514,58.3,4.28,0.71,1.24,1.62,6.97,41,,"low tide, fish, little bit of garbage on bottom"
230627-HC,HC,Tuesday,Himmarshee Canal,2023,23-06,,23-06-27,Wet,6/27/2023,1:12 PM,1,,2,No Report,,,,31.27,56.8,4.17,1.36,1.16,1.33,5.34,51,,"fish, leaves, low tide, murky"
230627-LS,LS,Tuesday,Lake Sylvia,2023,23-06,,23-06-27,Wet,6/27/2023,10:18 AM,1,,2,N 3,,,,29.901,71.9,4.91,18.69,0.63,1.02,4.43,40,,"low tide, relatively calm, little to no floating veg"
230627-MRGE,MRGE,Tuesday,Middle River George English,2023,23-06,,23-06-27,Wet,6/27/2023,11:54 AM,1,3,4,calm,,,,31.54,74.9,5.39,4.18,1.13,1.03,4.13,10,,"low tide, litter, clear"
230627-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2023,23-06,,23-06-27,Wet,6/27/2023,12:59 PM,1,,2,WNW 4,,,,31.26,83.3,5.73,13.38,0.33,1.12,4.47,5,,"fish, iguana, low tide, dark"
230627-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch,2023,23-06,,23-06-27,Wet,6/27/2023,12:21 PM,1,3,3,WNW 4,,,,30.82,87.9,5.97,16.92,1.25,1.54,6.14,10,,"propagules, leaves, low tide, murky, man fishing"
230627-SBR,SBR,Tuesday,Sandbar,2023,23-06,,23-06-27,Wet,6/27/2023,10:37 AM,1,3,2,N 3,,,,30.9,76.5,5.21,16.22,0.48,0.95,4.13,73,Fail,"low tide, bubbles, calm, little veg"
230627-SWP,SWP,Tuesday,Sweeting Park,2023,23-06,,23-06-27,Wet,6/27/2023,11:28 AM,1,3,3,calm,,,,28.747,31.2,2.41,0.22,0.99,1.95,8.37,171,Fail,"floating veg, garbage, low tide, insects flying on surface"
230627-TR,TR,Tuesday,Tarpon River,2023,23-06,,23-06-27,Wet,6/27/2023,10:48 AM,1,3,3,N 3,,,,30.073,36.8,2.75,2.04,0.65,1.19,5.14,1014,Fail,"low tide, floating veg, little to no current"
230704-ABP,ABP,Tuesday,Annie Beck Park,2023,23-07,,23-07-04,Wet,7/4/2023,11:28 AM,1,2,2,ENE 5,,,,32.176,76.1,5.13,14.24,0.93,0.65,2.53,62,,"particles on surface, fish, veg"
230704-CHP,CH,Tuesday,Coontie Hatchee Park,2023,23-07,,23-07-04,Wet,7/4/2023,11:25 AM,1,2,4,NE 2,,,,32.6,71.6,5.1,2.84,0.84,1.73,6.93,10,,"lots of boats, trash"
230704-HC,HC,Tuesday,Himmarshee Canal,2023,23-07,,23-07-04,Wet,7/4/2023,11:38 AM,1,,3,ENE 5,,,,31.248,56.1,3.82,15.32,1.23,0.62,2.41,62,,"someone spraying weeds, dark brown, fish & veg"
230704-LS,LS,Tuesday,Lake Sylvia,2023,23-07,,23-07-04,Wet,7/4/2023,10:45 AM,1,,2,NE 2,,,,31.2,96.4,6.2,26.4,0.75,0.65,2.59,5,,"iguanas, plastic"
230704-MRGE,MRGE,Tuesday,Middle River George English,2023,23-07,,23-07-04,Wet,7/4/2023,10:42 AM,1,2,4,ENE 4,,,,31.93,70.7,4.88,10.84,0.5,0.7,2.73,30,,"orange/brown color, tennis ball, veg, boats"
230704-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2023,23-07,,23-07-04,Wet,7/4/2023,11:50 AM,1,,3,ENE 6,,,,31.428,77.3,5.18,17.53,0.83,0.63,2.45,5,,"fish, calm, dark color"
230704-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch,2023,23-07,,23-07-04,Wet,7/4/2023,11:08 AM,1,2,3,ENE 4,,,,31.897,92.6,6.08,20.02,1.22,1.1,4.35,5,,"people fishing, bubbles on surface, boat activity"
230704-SBR,SBR,Tuesday,Sandbar,2023,23-07,,23-07-04,Wet,7/4/2023,11:00 AM,1,2,2,NE 2,,,,31.1,107.4,6.5,28.6,0.61,0.46,1.85,31,,"boat activity, high tide, dead bait fish, lots of flies"
230704-SWP,SWP,Tuesday,Sweeting Park,2023,23-07,,23-07-04,Wet,7/4/2023,11:45 AM,1,2,3,NE 2,,,,29.4,39.2,2.99,0.23,0.86,1.92,7.68,275,Fail,"plant debris, trash"
230704-TR,TR,Tuesday,Tarpon River,2023,23-07,,23-07-04,Wet,7/4/2023,11:10 AM,1,2,1,NE 2,,,,31.7,57.3,4.06,6.31,0.9,1.3,5.22,30,,"high tide, plant debris"
230711-ABP,ABP,Tuesday,Annie Beck Park,2023,23-07,,23-07-11,Wet,7/11/2023,11:18 AM,1,3,3,calm,,,,32.009,74.5,5.15,10.07,0.58,0.69,2.68,41,,"low tide, fish, floating veg, bubbles, film on surface"
230711-CH,CH,Tuesday,Coontie Hatchee Park,2023,23-07,,23-07-11,Wet,7/11/2023,11:10 AM,1,3,4,SW 3,,,,32.745,68.3,4.9,1,1.84,2,8,31,,"green sand, low tide, boat activity"
230711-HC,HC,Tuesday,Himmarshee Canal,2023,23-07,,23-07-11,Wet,7/11/2023,11:31 AM,1,,2,calm,,,,31.843,64.7,4.67,2.65,0.8,1.07,4.23,109,Fail,"low tide, fish, floating veg, calm"
230711-LS,LS,Tuesday,Lake Sylvia,2023,23-07,,23-07-11,Wet,7/11/2023,10:27 AM,1,,2,WSW 2,,,,31.28,83.7,5.6,18.3,1.12,1.11,4.45,30,,"snickers wrapper, green/brown, low tide"
230711-MRGE,MRGE,Tuesday,Middle River George English,2023,23-07,,23-07-11,Wet,7/11/2023,10:33 AM,1,4,2,WNW 5,,,,31.357,62.4,4.42,7.85,0.7,0.73,2.85,30,,"fish, floating veg, bubbles, garbage, low tide"
230711-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2023,23-07,,23-07-11,Wet,7/11/2023,11:44 AM,1,,2,calm,,,,31.711,80.2,5.41,15.54,1.03,0.85,3.34,10,,"low tide, floating veg, swift current"
230711-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch,2023,23-07,,23-07-11,Wet,7/11/2023,10:55 AM,1,3,2,WNW 5,,,,31.547,98.1,6.58,17.07,1.25,1.66,6.59,20,,"low tide, floating veg, bubbles, jetski to right, 2 sailboats forward/left of me along w/ 2 motorized boats"
230711-SBR,SBR,Tuesday,Sandbar,2023,23-07,,23-07-11,Wet,7/11/2023,10:48 AM,1,4,3,WSW 3,,,,32.06,78.8,5.29,15.36,1.02,0.92,3.7,61,,"fishy smell, oil slick on surface, sail boats, fish, low"
230711-TR,TR,Tuesday,Tarpon River,2023,23-07,,23-07-11,Wet,7/11/2023,10:56 AM,1,3,1,WSW 3,,,,30.935,33.5,2.44,3.96,4.45,1.03,4.13,84,Fail,"white stuff on bottom, slick on surface, brown, debris, low"
230718-ABP,ABP,Tuesday,Annie Beck Park,2023,23-07,,23-07-18,Wet,7/18/2023,11:45 AM,1,2,2,E 3,,,,31.9,82,5.72,8.94,0.48,0.81,3.55,269,Fail,"plant debris, birds swimming"
230718-CH,CH,Tuesday,Coontie Hatchee Park,2023,23-07,,23-07-18,Wet,7/18/2023,11:10 AM,1,2,3,NE 8,,,,32.956,56.6,4.05,0.82,0.76,0.97,3.82,41,,"rained recently, some boat traffic in channel, floating veg, fish, some garbage on shore"
230718-HC,HC,Tuesday,Himmarshee Canal,2023,23-07,,23-07-18,Wet,7/18/2023,11:55 AM,1,,1,E 3,,,,31.8,60.6,4.12,13.59,20.47,1.45,6.25,106,Fail,"someone fishing, plant debris"
230718-LS,LS,Tuesday,Lake Sylvia,2023,23-07,,23-07-18,Wet,7/18/2023,10:17 AM,1,,2,E 6,,,,31.837,82.4,5.56,15.17,0.45,0.57,2.22,30,,"lots of fish, swift current, little floating veg"
230718-MRGE,MRGE,Tuesday,Middle River George English,2023,23-07,,23-07-18,Wet,7/18/2023,11:05 AM,1,2,1,E 2,,,,31.3,71.8,5.25,2.17,2.28,1.58,6.77,52,,"water is brown, fish present"
230718-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2023,23-07,,23-07-18,Wet,7/18/2023,12:05 PM,1,,1,E 4,,,,32.4,64.2,4.25,16.99,2.06,1.15,4.99,10,,
230718-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch,2023,23-07,,23-07-18,Wet,7/18/2023,11:25 AM,1,2,2,E 2,,,,31.9,76.6,5.15,15.47,0.41,1.19,5.13,20,,"boat activity, jetskiis"
230718-SBR,SBR,Tuesday,Sandbar,2023,23-07,,23-07-18,Wet,7/18/2023,10:34 AM,1,,2,E 6,,,,31.838,94,6.32,15.72,0.6,0.79,3.08,30,,"floating veg, some garbage, fish, 4-5 sailboats, cooked shrimp on seawall, some boat traffic in channel"
230718-SWP,SWP,Tuesday,Sweeting Park,2023,23-07,,23-07-18,Wet,7/18/2023,11:34 AM,3,2,3,NE 8,,,,29.508,39.3,2.99,0.19,1.24,2.19,8.71,145,Fail,"floating veg, garbage around area, broken ? on dock"
230718-TR,TR,Tuesday,Tarpon River,2023,23-07,,23-07-18,Wet,7/18/2023,10:48 AM,1,,3,E 6,,,,31.792,59,4.27,2.15,0.65,0.92,3.61,464,Fail,"iguanas, biofilm, garbage, floating veg, iguana poop on seawall"
230725-ABP,ABP,Tuesday,Annie Beck Park,2023,23-07,,23-07-25,Wet,7/25/2023,12:07 PM,1,3,2,ESE 10,,,,33.52,82.4,5.59,9.07,,1.16,4.65,41,,"fishes, benthic matter, murky"
230725-CH,CH,Tuesday,Coontie Hatchee Park,2023,23-07,,23-07-25,Wet,7/25/2023,12:17 PM,1,3,2,E 8,,,,33.871,70.9,5,0.76,0.74,1.29,5.1,10,,"boat activity, film on surface, veg, green"
230725-HC,HC,Tuesday,Himmarshee Canal,2023,23-07,,23-07-25,Wet,7/25/2023,12:24 PM,1,,2,ESE 10,,,,33.22,64.3,4.57,1.41,,1.46,5.85,201,Fail,"murky, fishes, benthic matter"
230725-LS,LS,Tuesday,Lake Sylvia,2023,23-07,,23-07-25,Wet,7/25/2023,11:24 AM,1,,3,E 7,,,,32.036,89.9,5.89,20.02,0.55,0.91,3.55,20,,"brown, veg, plastic, fishes"
230725-MRGE,MRGE,Tuesday,Middle River George English,2023,23-07,,23-07-25,Wet,7/25/2023,11:30 AM,1,3,4,var 5,,,,32.67,75.2,5.06,13.08,,1.08,4.31,10,,"clear, fishes, guy fishing"
230725-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2023,23-07,,23-07-25,Wet,7/25/2023,12:39 PM,1,,2,ESE 10,,,,33.08,102.2,6.68,17.48,,1.52,6.1,5,,"dark, film on surface, benthic matter"
230725-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch,2023,23-07,,23-07-25,Wet,7/25/2023,11:50 AM,1,3,3,var 5,,,,32.25,93.5,6.18,17.76,,2.5,10.02,10,,"dark, boat activity, leaves"
230725-SBR,SBR,Tuesday,Sandbar,2023,23-07,,23-07-25,Wet,7/25/2023,11:45 AM,1,3,3,E 7,,,,32.955,110.5,7.31,15.31,0.8,1.26,4.99,10,,"5 big fast tuna looking fish swimming, fishy smell, orange"
230725-SWP,SWP,Tuesday,Sweeting Park,2023,23-07,,23-07-25,Wet,7/25/2023,12:35 PM,1,,2,E 8,,,,30.598,71.8,5.36,0.23,1.4,5.78,23.17,86,Fail,"brown, bugs on surface, grass clippings"
230725-TR,TR,Tuesday,Tarpon River,2023,23-07,,23-07-25,Wet,7/25/2023,11:57 AM,1,3,3,E 8,,,,33.317,68.7,4.85,2.17,0.56,0.99,3.91,31,,"very brown, sludge on surface, plastic & veg"
230801-ABP,ABP,Tuesday,Annie Beck Park,2023,23-08,,23-08-01,Wet,8/1/2023,9:55 AM,1,2,3,SW 4,,,,31.733,73.8,5.04,13.18,0.8,0.76,2.98,63,,"brown, veg"
230801-CHP,CH,Tuesday,Coontie Hatchee Park,2023,23-08,,23-08-01,Wet,8/1/2023,11:25 AM,1,2,3,W 2,,,,32.4,75.3,5.36,3.49,0.55,1.62,6.96,10,,"plant debris, boat activity"
230801-HC,HC,Tuesday,Himmarshee Canal,2023,23-08,,23-08-01,Wet,8/1/2023,10:18 AM,1,,3,SW 4,,,,31.32,54.7,3.76,13.34,1.35,0.65,2.53,63,,"very brown, floating veg"
230801-LS,LS,Tuesday,Lake Sylvia,2023,23-08,,23-08-01,Wet,8/1/2023,12:15 PM,2,,2,SW 3,,,,32,68.1,4.57,3.21,1.85,1.07,4.61,10,,"plant debris, fish, drizzling"
230801-MRGE,MRGE,Tuesday,Middle River George English,2023,23-08,,23-08-01,Wet,8/1/2023,9:20 AM,1,2,2,WSW 3,,,,30.92,74,5.22,9.9,0.38,0.75,2.91,10,,"floating veg, plastic, brown, fish"
230801-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2023,23-08,,23-08-01,Wet,8/1/2023,10:08 AM,1,,3,SW 4,,,,31.426,74.8,5.03,16.97,0.55,0.6,2.33,5,,"dark color, swift current"
230801-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch,2023,23-08,,23-08-01,Wet,8/1/2023,9:37 AM,1,2,3,SW 3,,,,31.446,87.9,5.85,19.02,0.96,0.97,3.83,10,,"lots of plastic, veg (coconuts & propagules), slick & bubbles"
230801-SWP,SWP,Tuesday,Sweeting Park,2023,23-08,,23-08-01,Wet,8/1/2023,11:05 AM,1,2,3,WSW 2,,,,29.7,35.9,2.72,0.26,0.78,2.71,11.57,75,Fail,"trash, a lot of gnats, plant debris"
230803-TR,TR,Thursday,Tarpon River,2023,23-08,,23-08-03,Wet,8/3/2023,1:44 PM,1,3,3,ESE 10,,,,32.29,55.6,3.85,9.29,0.88,1.03,4.47,480,Fail,"crabs, ducks, people mowing lawn, veg floating, clumps algae floating"
230808-ABP,ABP,Tuesday,Annie Beck Park,2023,23-08,,23-08-08,Wet,8/8/2023,10:42 AM,1,3,3,SSE 6,,,,32.149,66.5,4.66,6.98,0.69,1.01,4.05,31,,"oil slick on surface, bubbles on bottom, brownish"
230808-CH,CH,Tuesday,Coontie Hatchee Park,2023,23-08,,23-08-08,Wet,8/8/2023,11:01 AM,1,3,5,SSE 6,,,,32.267,51.7,3.74,0.75,1.12,1.58,6.31,10,,"fish, brown color, iguanas"
230808-CLP,CLP,Tuesday,Cooley's Landing,2023,23-08,,23-08-08,Wet,8/8/2023,12:23 PM,1,3,4,SSE 13,,,,32.545,54.8,3.95,0.79,0.96,1.29,5.1,86,Fail,"ducks, floating veg, some garbage"
230808-LS,LS,Tuesday,Lake Sylvia,2023,23-08,,23-08-08,Wet,8/8/2023,10:15 AM,1,,3,SSE 6,,,,31.302,76.4,5.15,16.78,0.78,0.97,3.89,10,,"veg, plastic, super low water level"
230808-MRD,MRD,Tuesday,Middle River Dock,2023,23-08,,23-08-08,Wet,8/8/2023,11:05 AM,1,,2,S 6,,,,30.341,31.5,2.36,0.38,1.53,1.4,5.55,238,Fail,"duck poop on dock, ducks to left of sample point"
230808-MRGE,MRGE,Tuesday,Middle River George English,2023,23-08,,23-08-08,Wet,8/8/2023,11:35 AM,1,3,5,SE 13,,,,32.031,67.3,4.74,6.6,0.72,0.75,2.94,10,,"fish, person fishing to right, garbage smell"
230808-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch,2023,23-08,,23-08-08,Wet,8/8/2023,11:56 AM,1,3,2,SE 13,,,,32.047,72.5,4.84,16.67,0.66,0.63,2.43,5,,"13 fishing polls on seawall, garbage on surface, dead fish from fishing on land, "
230808-SBR,SBR,Tuesday,Sandbar,2023,23-08,,23-08-08,Wet,8/8/2023,10:27 AM,1,3,3,SSE 6,,,,32.079,79.8,5.55,8.83,3.64,1.73,6.92,158,Fail,"construction, bubbles, veg, plastic, orange-y"
230808-SPB,SP,Tuesday,Sunrise Paddleboards,2023,23-08,,23-08-08,Wet,8/8/2023,11:21 AM,1,,3,S 6,,,,31.035,41.7,3.08,1.24,1,1.3,5.15,52,,"algae, floating veg, film on surface, barely see bottom"
230808-SWP,SWP,Tuesday,Sweeting Park,2023,23-08,,23-08-08,Wet,8/8/2023,11:17 AM,1,3,3,SSE 4,,,,29.337,33.6,2.56,0.21,1.12,2.73,10.91,160,Fail,"flies on surface, veg"
230815-ABP,ABP,Tuesday,Annie Beck Park,2023,23-08,,23-08-15,Wet,8/15/2023,12:31 PM,1,2,2,E 8,,,,33.38,82.3,5.5,12.15,0.94,0.91,3.96,74,Fail,"gobi, algae, veg"
230815-CHP,CH,Tuesday,Coontie Hatchee Park,2023,23-08,,23-08-15,Wet,8/15/2023,11:00 AM,1,2,2,NE 4,,,,33.235,63.7,4.54,1.01,0.81,1.49,5.95,41,,"greenish sand near water, heard leaf blower across water, garbage, floating veg"
230815-CLP,CLP,Tuesday,Cooley's Landing,2023,23-08,,23-08-15,Wet,8/15/2023,10:40 AM,1,2,3,NE 6,,,,32.837,58.1,4.11,3.25,0.81,1.41,5.64,31,,"dead iguana in water area, garbage, floating veg, some weeds pulled out from ground (had roots)"
230815-LS,LS,Tuesday,Lake Sylvia,2023,23-08,,23-08-15,Wet,8/15/2023,10:03 AM,1,,2,NE 6,,,,31.521,85.3,5.68,18.68,0.37,0.92,3.68,5,,"fish, floating veg, some biofilm"
230815-MRD,MRD,Tuesday,Middle River Dock,2023,23-08,,23-08-15,Wet,8/15/2023,11:17 AM,1,,3,N 3,,,,31.23,56.9,4.2,0.74,1.62,3.66,15.58,187,Fail,"poop, litter, murky water"
230815-MRGE,MRGE,Tuesday,Middle River George English,2023,23-08,,23-08-15,Wet,8/15/2023,11:48 AM,1,2,2,NE 4,,,,32.78,74.1,5.09,9.07,0.2,1.21,5.22,171,Fail,"fish, algae, propagules"
230815-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch,2023,23-08,,23-08-15,Wet,8/15/2023,12:11 PM,1,2,3,E 8,,,,32.31,87.1,5.7,19.16,0.86,1.27,5.5,30,,"veg, fishing lines, propagules"
230815-SBR,SBR,Tuesday,Sandbar,2023,23-08,,23-08-15,Wet,8/15/2023,10:18 AM,1,2,2,NE 6,,,,31.558,92.7,6.09,20.98,0.28,0.73,2.92,10,,"fish, floating veg, construction on seawall so sampled down to the right of original sample spot"
230815-SPB,SP,Tuesday,Sunrise Paddleboards,2023,23-08,,23-08-15,Wet,8/15/2023,11:30 AM,1,,2,N 3,,,,32.24,61.3,4.29,6.94,0.3,0.95,4.12,10,,"veg, propagules"
230815-SWP,SWP,Tuesday,Sweeting Park,2023,23-08,,23-08-15,Wet,8/15/2023,11:23 AM,1,2,3,NE 4,,,,30.177,30.6,2.3,0.22,1.12,3.03,12.13,189,Fail,"floating veg, lots of tiny insects on surface, bird poop on deck, heard leaf blower to right"
230822-ABP,ABP,Tuesday,Annie Beck Park,2023,23-08,,23-08-22,Wet,8/22/2023,2:20 PM,1,2,2,ENE 8,,,,31.84,82,5.66,10.91,0.4,1.06,4.6,10,,"minnows, some floating periphyton"
230822-CH,CH,Tuesday,Coontie Hatchee Park,2023,23-08,,23-08-22,Wet,8/22/2023,11:08 AM,1,3,2,ENE 14 Gust 23,,,,31.802,65.8,4.79,1.43,0.95,1.43,5.71,63,,"person in water and fishing to left, floating veg, garbage, fish, greenish sand, bit breezy"
230822-CLP,CLP,Tuesday,Cooley's Landing,2023,23-08,,23-08-22,Wet,8/22/2023,10:49 AM,1,3,2,ENE 13 Gust 20,,,,31.422,62.6,4.58,1.32,0.88,1.54,6.16,175,Fail,"bit breezy, some garbage, some floating veg"
230822-LS,LS,Tuesday,Lake Sylvia,2023,23-08,,23-08-22,Wet,8/22/2023,10:06 AM,2,3,2,ENE 13 Gust 20,,,,30.42,78.9,5.33,19.33,0.31,0.58,2.31,158,Fail,"bubbles, bits floating veg"
230822-MRD,MRD,Tuesday,Middle River Dock,2023,23-08,,23-08-22,Wet,8/22/2023,12:45 PM,1,3,5,NE 8,,,,29.754,54.4,4.12,0.52,1.73,2.27,9.73,86,Fail,"man who just swam, minnows, duck feces]"
230822-MRGE,MRGE,Tuesday,Middle River George English,2023,23-08,,23-08-22,Wet,8/22/2023,1:25 PM,1,1,3,NE 9,,,,31.902,88.4,6.14,9.71,1.37,1.49,6.41,10,,"leaves floating, trash on shoreline, lots of black benthic periphyton floating"
230822-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch,2023,23-08,,23-08-22,Wet,8/22/2023,1:55 PM,1,2,3,NE 9,,,,31.289,106.3,7.16,17.21,0.51,2.31,9.86,5,,"2 jetskii, 1 boat, needlefish, floating leaves, some seafoams"
230822-SBR,SBR,Tuesday,Sandbar,2023,23-08,,23-08-22,Wet,8/22/2023,10:26 AM,1,3,3,ENE 13 Gust 20,,,,30.32,77.6,5.37,15.15,3.34,0.91,3.63,41,,"sampled to right of original spot, installing new seawall to left, bit breezy, bit floating veg"
230822-SPB,SP,Tuesday,Sunrise Paddleboards,2023,23-08,,23-08-22,Wet,8/22/2023,1:00 PM,1,3,2,NE 9,,,,30.874,64.9,4.58,9.94,0.28,1.02,4.42,31,,"2 kayakers, minnows"
230822-SWP,SWP,Tuesday,Sweeting Park,2023,23-08,,23-08-22,Wet,8/22/2023,11:29 AM,1,3,2,ENE 14 Gust 23,,,,29.313,62.7,4.79,0.18,2.38,5.6,22.38,256,Fail,"floating veg, insects on surface, swift current relatively calm"
230829-ABP,ABP,Tuesday,Annie Beck Park,2023,23-08,,23-08-29,Wet,8/29/2023,11:15 AM,2,2,3,SSE 21 Gust 25,,,,31.527,69.8,4.81,12.27,0.86,0.9,3.62,199,Fail,"breezy, floating veg, relatively calm"
230829-CH,CH,Tuesday,Coontie Hatchee Park,2023,23-08,,23-08-29,Wet,8/29/2023,11:00 AM,1,2,2,SSE 15,,,,32.152,60.1,4.36,1.11,1.16,0.96,3.78,30,,"brown/green, boat activity, debris"
230829-CLP,CLP,Tuesday,Cooley's Landing,2023,23-08,,23-08-29,Wet,8/29/2023,10:45 AM,1,2,3,SSE 15,,,,31.769,62.2,4.4,6.67,1.01,0.75,2.94,134,Fail,"dog swimming, boat discharge, swift current"
230829-LS,LS,Tuesday,Lake Sylvia,2023,23-08,,23-08-29,Wet,8/29/2023,9:35 AM,1,2,3,SSE 12,,,,30.98,82.1,5.38,23.23,0.49,0.38,1.43,20,,"some leaves, dark color "
230829-MRD,MRD,Tuesday,Middle River Dock,2023,23-08,,23-08-29,Wet,8/29/2023,9:56 AM,1,2,2,SSE 16 Gust 23,,,,29.883,38.2,2.88,0.39,1.97,2.09,8.35,173,Fail,"small fish, breezy, floating veg, hear leaf blower"
230829-MRGE,MRGE,Tuesday,Middle River George English,2023,23-08,,23-08-29,Wet,8/29/2023,10:34 AM,1,2,2,SSE 17 Gust 24,,,,30.768,65.3,4.72,5.87,0.51,0.87,3.49,121,Fail,"one boat driving around, relatively calm, some vegetation on bottom"
